키,분류1,분류2,분류3,명칭,도로명 주소,행정 시,행정 구,행정 동,홈페이지주소,Latitude,Longitude
BE_IW07-0256,기타공공기관,,미래창조과학부,한국데이터베이스진흥원,서울특별시 종로구 종로51 종로타워 19층,서울특별시,종로구,종로1.2.3.4가동,www.kodb.or.kr,37.5707733,126.983521
BE_IW07-0257,기타공공기관,,문화체육관광부,한국도박문제관리센터,서울특별시 종로구 북촌로 18,서울특별시,종로구,가회동,www.kcgp.or.kr,37.5785877,126.9860937
BE_IW07-0259,기타공공기관,,문화체육관광부,한국문학번역원,서울특별시 강남구 영동대로 112길 32(삼성동),서울특별시,강남구,삼성1동,www.klti.or.kr,37.5134926,127.0444802
BE_IW07-0260,기타공공기관,,문화체육관광부,한국문화관광연구원,서울특별시 강서구 금낭화로 154,서울특별시,강서구,방화3동,www.kcti.re.kr,37.579049,126.8138116
BE_IW07-0261,기타공공기관,,문화체육관광부,한국문화예술교육진흥원,서울시 마포구 성산로 128(성산동 275-3),서울특별시,마포구,성산1동,www.arte.or.kr,37.5637867,126.9084724
BE_IW07-0262,기타공공기관,,문화체육관광부,한국문화예술회관연합회,서울특별시 서초구 남부순환로 2406 예술의전당 오페라하우스 4층,서울특별시,서초구,서초3동,www.kocaca.or.kr,37.4792683,127.0139129
BE_IW07-0263,기타공공기관,,문화재청,한국문화재재단,서울시 강남구 봉은사로 406(삼성동),서울특별시,강남구,삼성2동,www.chf.or.kr,37.5102289,127.0446484
BE_IW07-0264,기타공공기관,,문화체육관광부,한국문화정보원,"서울시 마포구 월드컵북로 400, 6층/8층",서울특별시,마포구,상암동,www.kcisa.kr,37.5805208,126.8896388
BE_IW07-0266,기타공공기관,,특허청,한국발명진흥회,서울특별시 강남구 테헤란로 131,서울특별시,강남구,역삼1동,www.kipa.org,37.5000863,127.0329015
BE_IW07-0268,기타공공기관,,법무부,한국법무보호복지공단,서울특별시 양천구 목동남로 93,서울특별시,양천구,신정7동,www.koreha.or.kr,37.511454,126.8690501
BE_IW07-0270,기타공공기관,,중소기업청,한국벤처투자,"서울특별시 서초구 서초대로 45길 16, 5층",서울특별시,서초구,서초3동,www.k-vic.co.kr,37.4939407,127.0091129
BE_IW07-0272,기타공공기관,,국무조정실,한국보건사회연구원 육아정책연구소,"서울시 서초구 남부순환로 2558 외교센터 3층, 4층",서울특별시,서초구,서초2동,www.kicce.re.kr,37.4825546,127.0299615
BE_IW07-0273,기타공공기관,,보건복지부,한국보건의료연구원,서울특별시 중구 퇴계로 173(충무로 3가) 남산스퀘어 7층 ,서울특별시,중구,필동,www.neca.re.kr,37.5618134,126.9910239
BE_IW07-0274,기타공공기관,,보건복지부,한국보건의료인국가시험원,서울시 광진구 자양로 45(자양2동 679-30),서울특별시,광진구,자양2동,www.kuksiwon.or.kr,37.5320027,127.0853837
BE_IW07-0275,기타공공기관,,보건복지부,한국보육진흥원,"서울시 용산구 청파로 345 주연빌딩 3,4,5,6층",서울특별시,용산구,청파동,www.kcpi.or.kr,37.5502815,126.9693174
BE_IW07-0277,기타공공기관,,보건복지부,한국사회복지협의회,서울특별시 마포구 만리재로 14(공덕동 456) 한국사회복지회관(5층),서울특별시,마포구,아현동,kncsw.bokji.net,37.5439983,126.952885
BE_IW07-0280,기타공공기관,,금융위원회,한국산업은행,서울특별시 영등포구 은행로 14(여의도동),서울특별시,영등포구,여의동,www.kdb.co.kr,37.5270602,126.9209124
BE_IW07-0281,기타공공기관,,환경부,한국상하수도협회,서울특별시 마포구 환일길 13(아현동),서울특별시,마포구,공덕동,www.kwwa.or.kr,37.5569899,126.9601832
