번호,면적,시도명,시군구명,용도,장소명,주소,최대수용인원,경도,위도,정좌표경도,정좌표위도,구분
3751,1156000000,서울특별시,영등포구,학교,양화중학교,서울특별시 영등포구 당산로 56(문래동3가),279,126.89605,37.51977,190810.6356,546703.32,긴급
3800,1159000000,서울특별시,동작구,학교,서울신상도초등학교,서울특별시 동작구 장승배기로 14(상도동),203,126.94406,37.50028,195053.8134,544536.2178,안전
3798,1156000000,서울특별시,영등포구,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",푸드뱅크마켓3호점,서울특별시 영등포구 신길로8길 7(신길동),24,126.90933,37.49573,191982.1121,544034.2814,안전
3763,1156000000,서울특별시,영등포구,경로당,구립문래제1경로당,서울특별시 영등포구 문래로20길 7(문래동3가),77,126.8942,37.51846,190646.4768,546558.4688,안전
3799,1156000000,서울특별시,영등포구,학교,서울영문초등학교,서울특별시 영등포구 문래로 56(문래동6가),277,126.88754,37.5196,190058.5474,546685.1817,긴급
3750,1156000000,서울특별시,영등포구,학교,서울문래초등학교,서울특별시 영등포구 문래로 104(문래동3가),87,126.8932,37.51822,190558.7283,546531.4582,안전
3805,1156000000,서울특별시,영등포구,학교,서울우신초등학교,서울특별시 영등포구 신길로 190(신길동),243,126.91142,37.50957,192168.1928,545570.1385,안전
3801,1159000000,서울특별시,동작구,학교,서울상도초등학교,서울특별시 동작구 성대로21길 62(상도동),261,126.93723,37.49971,194449.5423,544473.7946,안전
3806,1156000000,서울특별시,영등포구,학교,장훈고등학교,서울특별시 영등포구 영등포로64길 26(신길동),309,126.91474,37.5136,192461.9697,546017.174,긴급
3762,1156000000,서울특별시,영등포구,학교,문래중학교,서울특별시 영등포구 선유서로13길 6(문래동6가),298,126.88425,37.52051,189767.3013,546786.7834,긴급
3749,1156000000,서울특별시,영등포구,학교,서울영등포초등학교,서울특별시 영등포구 경인로 756(문래동1가),273,126.89816,37.51294,190996.3533,545944.9988,안전
3802,1159000000,서울특별시,동작구,학교,국사봉중학교,서울특별시 동작구 양녕로20길 20(상도동),348,126.94502,37.49371,195138.1593,543807.6259,안전
3764,1156000000,서울특별시,영등포구,교회,문래동성결교회,서울특별시 영등포구 도림로141다길 30(문래동4가),128,126.88942,37.51562,190224.1386,546243.7498,긴급
3803,1159000000,서울특별시,동작구,학교,숭실대학교,서울특별시 동작구 상도로 369(상도동),327,126.95828,37.49724,196310.7901,544198.9553,안전
3804,1159000000,서울특별시,동작구,학교,서울강남초등학교,서울특별시 동작구 강남초등길 15(상도1동),76,126.95368,37.50599,195904.1107,545170.5146,안전
3810,1156000000,서울특별시,영등포구,학교,서울영신초등학교,서울특별시 영등포구 도신로60길 23(신길동),150,126.91799,37.51003,192748.7747,545620.7929,안전
3808,1156000000,서울특별시,영등포구,학교,영신고등학교,서울특별시 영등포구 대방천로14길 18(신길동),344,126.90975,37.49767,192019.0736,544249.3244,안전
