행정구역별(읍면동),65세이상 인구(명)
사직동,1285
삼청동,514
부암동,1424
평창동,2550
무악동,946
교남동,1067
가회동,744
종로1·2·3·4가동,897
종로5·6가동,669
이화동,915
혜화동,1257
명륜3가동,751
창신1동,717
창신2동,1205
창신3동,807
숭인1동,771
숭인2동,1027
청운효자동,1755
소공동,54
회현동,670
명동,298
필동,534
장충동,543
광희동,614
을지로동,212
신당1동,861
신당2동,1782
신당3동,2437
신당4동,1915
신당5동,939
신당6동,1055
황학동,1223
중림동,1505
후암동,2113
용산2가동,1569
남영동,869
원효로2동,1653
효창동,1337
용문동,1399
이촌1동,2916
이촌2동,1190
이태원1동,1139
이태원2동,1485
서빙고동,1591
보광동,1975
청파동,2130
원효로1동,972
한강로동,1654
한남동,2339
왕십리2동,1781
마장동,2483
사근동,1062
행당1동,1806
행당2동,2320
응봉동,1728
금호1가동,1645
금호4가동,1501
성수1가1동,1387
성수1가2동,1486
성수2가1동,1753
성수2가3동,1210
송정동,1046
용답동,1749
왕십리도선동,1770
금호2·3가동,2540
옥수동,2770
화양동,1617
군자동,1889
중곡1동,1392
중곡2동,1786
중곡3동,1608
중곡4동,2728
능동,950
구의1동,1829
구의2동,2367
구의3동,2296
광장동,2361
자양1동,2156
자양2동,2193
자양3동,2088
자양4동,2434
회기동,1064
휘경1동,1792
휘경2동,2343
청량리동,3691
용신동,3623
제기동,3527
전농1동,3264
전농2동,2184
답십리1동,2223
답십리2동,3395
장안1동,3303
장안2동,2811
이문1동,3258
이문2동,2251
면목2동,2582
면목4동,2214
면목5동,1426
면목7동,2447
상봉1동,2164
상봉2동,1893
중화1동,1865
중화2동,3182
묵1동,3245
묵2동,2010
망우3동,1842
신내1동,2944
신내2동,2312
면목본동,3433
면목3·8동,2975
망우본동,3408
돈암1동,1774
돈암2동,2213
안암동,1568
보문동,1686
정릉1동,2154
정릉2동,2600
정릉3동,2145
정릉4동,2889
길음1동,2620
길음2동,2132
월곡1동,2828
월곡2동,2423
장위1동,2615
장위2동,2481
장위3동,2114
성북동,2318
삼선동,2800
동선동,1620
종암동,3926
석관동,3937
번1동,2257
번2동,2453
번3동,2969
수유1동,2656
수유2동,3051
수유3동,2934
삼양동,3299
미아동,2805
송중동,4078
송천동,3841
삼각산동,2304
우이동,2818
인수동,4140
쌍문1동,2550
쌍문2동,2202
쌍문3동,2037
쌍문4동,1834
방학1동,2976
방학2동,2456
방학3동,2739
창1동,2860
창2동,2887
창3동,1693
창4동,2626
창5동,2509
도봉1동,3369
도봉2동,3723
월계1동,2494
월계2동,3499
월계3동,3629
공릉2동,3304
하계1동,2833
하계2동,2114
중계본동,1994
중계1동,1709
중계4동,2290
상계1동,4138
상계2동,1980
상계5동,2515
상계8동,1825
상계9동,2004
상계10동,1632
공릉1·3동,3564
상계3·4동,4931
상계6·7동,2989
중계2·3동,4890
녹번동,4091
불광1동,4078
갈현1동,2547
갈현2동,2693
구산동,3547
대조동,3391
응암1동,3210
응암2동,2373
신사1동,2567
신사2동,2108
증산동,2254
수색동,2470
진관동,3495
불광2동,3384
응암3동,3209
역촌동,4432
천연동,2299
홍제1동,3319
홍제3동,2757
홍제2동,1766
홍은1동,3443
홍은2동,3276
남가좌1동,469
남가좌2동,3493
북가좌1동,1263
북가좌2동,3851
충현동,2783
북아현동,1647
신촌동,1507
연희동,4859
용강동,2037
대흥동,1468
염리동,1886
신수동,2224
서교동,2675
합정동,1870
망원1동,2288
망원2동,1978
연남동,2118
성산1동,2069
성산2동,4072
상암동,2280
도화동,2640
서강동,2231
공덕동,3836
아현동,1840
목1동,1746
목2동,2293
목3동,1774
목4동,1847
신월1동,2066
신월2동,1785
신월3동,1660
신월4동,1599
신월5동,1271
신월6동,1201
신월7동,2494
신정1동,1700
신정2동,1525
신정3동,3530
신정6동,1496
신정7동,2911
목5동,2562
신정4동,3071
염창동,2420
등촌1동,1871
등촌2동,1593
등촌3동,3982
화곡본동,2554
화곡2동,1537
화곡3동,2057
화곡4동,1985
화곡6동,1904
화곡8동,2255
가양1동,1390
가양2동,2318
가양3동,2221
발산1동,2270
공항동,1933
방화1동,2669
방화2동,2851
방화3동,2919
화곡1동,4278
우장산동,2455
신도림동,2527
구로1동,1388
구로3동,1890
구로4동,2561
구로5동,2638
고척1동,2409
고척2동,2758
개봉2동,3117
개봉3동,2034
오류1동,2120
오류2동,2730
수궁동,2250
가리봉동,1454
구로2동,3550
개봉1동,3399
가산동,1535
독산1동,3197
독산2동,1962
독산3동,2585
독산4동,1544
시흥1동,3234
시흥2동,2368
시흥3동,1422
시흥4동,2210
시흥5동,2623
여의동,3959
당산1동,2148
당산2동,3045
양평1동,1667
양평2동,1671
신길1동,2381
신길3동,2026
신길4동,1366
신길5동,1779
신길6동,2292
신길7동,1534
대림1동,1648
대림2동,1830
대림3동,2495
영등포본동,2280
영등포동,1865
도림동,1799
문래동,2917
노량진2동,1777
상도1동,4001
상도2동,2535
상도3동,2653
상도4동,3000
사당1동,1990
사당3동,2432
사당4동,1468
사당5동,1406
대방동,3523
신대방1동,2293
신대방2동,1927
흑석동,3853
노량진1동,3728
사당2동,3028
보라매동,2612
청림동,1622
행운동,2478
낙성대동,1327
중앙동,1491
인헌동,2455
남현동,1575
서원동,2044
신원동,1986
서림동,1988
신사동,2038
신림동,1159
난향동,1536
조원동,1615
대학동,1670
은천동,3325
성현동,3490
청룡동,2783
난곡동,3186
삼성동,3613
미성동,3021
서초1동,1568
서초2동,1649
서초3동,2545
서초4동,2251
잠원동,2421
반포본동,1228
반포1동,1759
반포2동,1627
반포3동,1797
반포4동,1511
방배본동,1861
방배1동,1431
방배2동,2283
방배3동,2202
방배4동,2075
양재1동,2373
양재2동,1461
내곡동,688
신사동,1951
논현1동,1614
논현2동,1728
삼성1동,1235
삼성2동,1952
대치1동,1463
대치4동,1158
역삼1동,1895
역삼2동,2060
도곡1동,1530
도곡2동,2404
개포1동,1734
개포4동,1438
일원본동,1367
일원1동,1726
일원2동,1478
수서동,2433
세곡동,641
압구정동,3058
청담동,2305
대치2동,2481
개포2동,1982
풍납1동,1768
풍납2동,2055
거여1동,1187
거여2동,2443
마천1동,1810
마천2동,2285
방이1동,1082
방이2동,1815
오륜동,1203
오금동,2915
송파1동,1832
송파2동,1366
석촌동,2409
삼전동,2077
가락본동,1840
가락1동,1136
가락2동,2105
문정1동,1520
문정2동,1818
장지동,2691
잠실본동,1885
잠실4동,2189
잠실6동,1461
잠실7동,1217
잠실2동,1889
잠실3동,2769
강일동,1778
상일동,1799
명일1동,2015
명일2동,1175
고덕1동,1489
고덕2동,1463
암사2동,1103
암사3동,1194
천호1동,2632
천호3동,2432
성내1동,1588
성내2동,2376
성내3동,1866
둔촌1동,992
둔촌2동,2276
암사1동,3193
천호2동,3588
길동,4027
