행정구역별(읍면동),총인구 (명)
사직동,8961
삼청동,2975
부암동,10131
평창동,18028
무악동,8016
교남동,7943
가회동,4961
종로1·2·3·4가동,6421
종로5·6가동,4848
이화동,9411
혜화동,12773
명륜3가동,6643
창신1동,5959
창신2동,10554
창신3동,8111
숭인1동,7169
숭인2동,8791
청운효자동,13880
소공동,809
회현동,4469
명동,2329
필동,4009
장충동,5490
광희동,5160
을지로동,1426
신당1동,7434
신당2동,15476
신당3동,19144
신당4동,15493
신당5동,7343
신당6동,9008
황학동,11812
중림동,11742
후암동,17771
용산2가동,12926
남영동,6937
원효로2동,15138
효창동,10929
용문동,12536
이촌1동,26853
이촌2동,9581
이태원1동,8243
이태원2동,10534
서빙고동,10448
보광동,17280
청파동,22713
원효로1동,10197
한강로동,14718
한남동,20596
왕십리2동,18038
마장동,24214
사근동,13445
행당1동,17274
행당2동,24562
응봉동,16659
금호1가동,15209
금호4가동,14394
성수1가1동,17407
성수1가2동,18137
성수2가1동,19690
성수2가3동,12063
송정동,12492
용답동,16656
왕십리도선동,12346
금호2·3가동,20682
옥수동,22867
화양동,27879
군자동,21888
중곡1동,15987
중곡2동,21550
중곡3동,18298
중곡4동,29967
능동,10765
구의1동,22589
구의2동,25093
구의3동,29019
광장동,33965
자양1동,23994
자양2동,27797
자양3동,30719
자양4동,28511
회기동,11492
휘경1동,17287
휘경2동,24262
청량리동,23185
용신동,28473
제기동,26358
전농1동,24556
전농2동,18732
답십리1동,19071
답십리2동,30870
장안1동,34585
장안2동,30683
이문1동,34160
이문2동,23056
면목2동,27284
면목4동,22568
면목5동,13741
면목7동,24766
상봉1동,24776
상봉2동,17571
중화1동,20989
중화2동,29707
묵1동,32737
묵2동,19143
망우3동,18591
신내1동,30972
신내2동,25102
면목본동,35057
면목3·8동,28493
망우본동,31608
돈암1동,15729
돈암2동,23173
안암동,19127
보문동,14705
정릉1동,19787
정릉2동,23149
정릉3동,17715
정릉4동,26629
길음1동,33173
길음2동,18480
월곡1동,27535
월곡2동,21137
장위1동,24705
장위2동,21694
장위3동,18341
성북동,16835
삼선동,25019
동선동,15109
종암동,39480
석관동,36048
번1동,20047
번2동,19637
번3동,21013
수유1동,21934
수유2동,22453
수유3동,22860
삼양동,29699
미아동,23814
송중동,33244
송천동,29833
삼각산동,29080
우이동,19758
인수동,31041
쌍문1동,21530
쌍문2동,20258
쌍문3동,17838
쌍문4동,20923
방학1동,30677
방학2동,22705
방학3동,31020
창1동,27689
창2동,30381
창3동,15641
창4동,29977
창5동,27231
도봉1동,22718
도봉2동,30037
월계1동,23689
월계2동,30734
월계3동,35772
공릉2동,46044
하계1동,31184
하계2동,25351
중계본동,27746
중계1동,29536
중계4동,22250
상계1동,42763
상계2동,21987
상계5동,23669
상계8동,26861
상계9동,24618
상계10동,20443
공릉1·3동,38814
상계3·4동,37754
상계6·7동,36206
중계2·3동,41827
녹번동,33615
불광1동,35084
갈현1동,24246
갈현2동,26324
구산동,31524
대조동,29035
응암1동,30181
응암2동,18656
신사1동,25924
신사2동,22012
증산동,20675
수색동,19508
진관동,36622
불광2동,28643
응암3동,25218
역촌동,43316
천연동,20018
홍제1동,26534
홍제3동,19679
홍제2동,15487
