시도,총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명)
서울특별시,9794304.00 ,4803373.00 ,4990931.00 ,9631482.00 ,4726028.00 ,4905454.00 ,162822.00 ,77345.00 ,85477.00 
부산광역시,3414950.00 ,1676689.00 ,1738261.00 ,3393191.00 ,1664678.00 ,1728513.00 ,21759.00 ,12011.00 ,9748.00 
대구광역시,2446418.00 ,1212584.00 ,1233834.00 ,2431774.00 ,1204428.00 ,1227346.00 ,14644.00 ,8156.00 ,6488.00 
인천광역시,2662509.00 ,1334576.00 ,1327933.00 ,2632035.00 ,1315562.00 ,1316473.00 ,30474.00 ,19014.00 ,11460.00 
광주광역시,1475745.00 ,729330.00 ,746415.00 ,1466143.00 ,724161.00 ,741982.00 ,9602.00 ,5169.00 ,4433.00 
대전광역시,1501859.00 ,750762.00 ,751097.00 ,1490158.00 ,745150.00 ,745008.00 ,11701.00 ,5612.00 ,6089.00 
울산광역시,1082567.00 ,557694.00 ,524873.00 ,1071673.00 ,550869.00 ,520804.00 ,10894.00 ,6825.00 ,4069.00 
경기도,11379459.00 ,5705613.00 ,5673846.00 ,11196053.00 ,5599570.00 ,5596483.00 ,183406.00 ,106043.00 ,77363.00 
강원도,1471513.00 ,738399.00 ,733114.00 ,1463650.00 ,735075.00 ,728575.00 ,7863.00 ,3324.00 ,4539.00 
충청북도,1512157.00 ,758214.00 ,753943.00 ,1495984.00 ,748622.00 ,747362.00 ,16173.00 ,9592.00 ,6581.00 
충청남도,2028002.00 ,1023882.00 ,1004120.00 ,2000473.00 ,1007454.00 ,993019.00 ,27529.00 ,16428.00 ,11101.00 
전라북도,1777220.00 ,872724.00 ,904496.00 ,1766044.00 ,867630.00 ,898414.00 ,11176.00 ,5094.00 ,6082.00 
전라남도,1741499.00 ,852513.00 ,888986.00 ,1728749.00 ,845952.00 ,882797.00 ,12750.00 ,6561.00 ,6189.00 
경상북도,2600032.00 ,1296071.00 ,1303961.00 ,2575370.00 ,1281510.00 ,1293860.00 ,24662.00 ,14561.00 ,10101.00 
경상남도,3160154.00 ,1591430.00 ,1568724.00 ,3119571.00 ,1562686.00 ,1556885.00 ,40583.00 ,28744.00 ,11839.00 
제주특별자치도,531905.00 ,263244.00 ,268661.00 ,528411.00 ,261521.00 ,266890.00 ,3494.00 ,1723.00 ,1771.00 
