일련번호,구분,자치구 코드,자치구 이름,마트 이름,마트 전화번호,마트 주소,마트 홈페이지,주차장 유무
4,마트,380000,은평구,대조 마트,2222-2222,은평구 대조동 서울시 은평구 대조동 98-29,,무
6,마트,140000,중구,롯데슈퍼 신당점,2290-5853,중구 신당3동 서울시 중구 다산로 56(신당동, 남산정은스카이아파트),무
8,마트,140000,중구,롯데슈퍼 명동점,778-5603,중구 명동 서울시 중구 명동8나길 47(충무로1가),,무
10,마트,140000,중구,홈플러스 신당점,2236-8543,중구 신당6동 서울시 중구 다산로 222(신당동),,무
12,마트,470000,양천구,홈플러스 목동점,2644-2080,양천구 목1동 서울시 양천구 목동서로 170(목동),corporate.homeplus.co.kr/store/store_search/store_intro.aspx?store=mokdong2,유
13,마트,470000,양천구,이마트 목동점,6923-1234,양천구 목1동 서울특별시 양천구 962 목동 트라팰리스(지하층) ,emart.shinsegae.com/branch/BRMain01M.asp?JumID=E126,유
14,마트,470000,양천구,이마트 신월점,2697-7123,양천구 신월5동 서울시 양천구 화곡로 59(신월동),emart.shinsegae.com/branch/BRMain01M.asp?JumID=E18,유
18,마트,260000,중랑구,홈플러스 면목점,437-2080,중랑구 면목5동 서울시 중랑구 사가정로 332(면목동),corporate.homeplus.co.kr,유
19,마트,260000,중랑구,홈플러스 신내점,2024-8000,중랑구 신내2동 서울시 중랑구 신내로 201(신내동),corporate.homeplus.co.kr,유
20,마트,260000,중랑구,이마트 상봉점,490-1234,중랑구 망우본동 서울시 중랑구 상봉로 118(망우동),emart.shinsegae.com,유
21,마트,260000,중랑구,코스트코상봉점,439-1144,중랑구 상봉2동 서울시 중랑구 망우로 336(상봉동),costco.co.kr,유
22,마트,260000,중랑구,서울원예농협하나로마트,948-0570,중랑구 묵1동 서울시 중랑구 동일로 842(묵동),seoulwynh.co.kr,유
23,마트,260000,중랑구,동부할인마트,2207-5507,중랑구 상봉2동 서울시 중랑구 망우로32길 23(상봉동),,무
24,마트,260000,중랑구,한샘마트,493-8249,중랑구 망우본동 서울시 중랑구 봉우재로71길 18, 1층 용마프라자(망우동,유
25,마트,260000,중랑구,킴스마트,432-3100,중랑구 면목7동 서울시 중랑구 면목로39길 11(면목동),,유
26,마트,560000,영등포구,코스트코홀세일,2630-2653,영등포구 양평1동 서울시 영등포구 선유로 156(양평동3가),www.costco.co.kr/,유
27,마트,560000,영등포구,빅마켓 영등포점,2165-2510,영등포구 영등포동 서울시 영등포구 영중로 125(영등포동 8가),company.lottemart.com/branch/b_info_new.jsp?commonStoreID=3,유
28,마트,560000,영등포구,홈플러스 영등포점,2165-8000,영등포구 문래동 서울시 영등포구 당산로 42(문래동3가),company.homeplus.co.kr/store/store_search/store_intro.aspx?store=yongdungpo,유
