AWS_ID,2013일강수최대,2012일강수최대,2011일강수최대,2010일강수최대,일최대강수(평균)
400,359.6,177,322,293,287.9
401,359.9,178.5,281,261,270.1
402,360,164,315.5,274.5,278.5
403,360,164.5,209,275.5,252.25
404,359.6,112,252.5,293,254.275
405,359.9,149.5,287,269,266.35
406,360,129,165.5,124.5,194.75
407,359.9,174.5,275.5,111.5,230.35
408,360,199.5,288,229.5,269.25
409,360,186,301,227.5,268.625
410,359.9,176,266.5,228.5,257.725
411,359.9,141,309,280.5,272.6
412,359.8,116.5,267,275.5,254.7
413,360,181.5,282,263.5,271.75
414,360,131.5,285,170,236.625
415,360,170,273,263,266.5
416,359.9,98,278.5,180.5,229.225
417,359.9,172,249,194,243.725
418,360,157,256.5,267.5,260.25
419,359.9,172.5,265.5,264,265.475
420,,,,130.5,130.5
421,360,180,289.5,259.5,272.25
422,359.9,147.5,298,6,202.85
423,359.9,155.5,176.5,229.5,230.35
424,360,132,272,130.5,223.625
425,360,192.5,359,9,230.125
509,360,184,348.5,159.5,263
510,360,155,299.5,257.5,268
