이름,상호명,주소,유형,Latitude,Longitude
김도윤,서울 강남 윤서울,서울 강남구 선릉로 805,백수저,37.5240997,127.0389504
남정석,서울 성동구 로컬릿,서울 성동구 한림말길 33,백수저,37.5409307,127.014767
박준우,서울 종로 카페 오쁘띠베르,서울 종로구 자하문로 47-1,백수저,37.5802623,126.9709947
방기수,서울 깃든,서울 강북구 월계로7나길 46-5,백수저,37.6132444,127.0316916
여경래,서울 역삼동 홍보각,서울 강남구 봉은사로 130,백수저,37.5053029,127.0288672
장호준1,네기라이브,서울 성동구 성수이로 97,백수저,37.5436174,127.056588
장호준2,네기다이닝라운지,서울 강남구 도산대로 15길 18,백수저,37.5195017,127.0240624
정지선,서울 티엔미미 강남점,서울 서초구 사임당로 143 104-1~3,백수저,37.4918829,127.0252346
조셉_리저우드,서울 신사동 에빗,서울 강남구 도산대로45길 10-5,백수저,37.5234282,127.036206
조은주,서울 여의도 63빌딩 터치 더 스카이,서울 영등포구 여의도동 63로 50,백수저,37.5198332,126.9400724
최강록,서울 잠실 식당네오,서울 송파구 삼전로12길 4,백수저,37.506418,127.0903882
최지형,서울 마포구 리북방,서울 마포구 마포대로1길 16,백수저,37.5397439,126.9431411
최현석1,서울 강남 달리아다이닝,서울 강남구 도산대로45길 14,백수저,37.5232387,127.0358025
최현석2,청담동 쵸이닷,서울 강남구 도산대로 457,백수저,37.5244162,127.0465576
최현석3,성동구 중앙감속기,서울 성동구 성수일로6길 7-1,백수저,37.5455719,127.0510934
파브리,서울 용산 파브리키친,서울 용산구 한강대로15길 23-6,백수저,37.5261486,126.9627509
황진선,서울 서교동 진진,서울 마포구 월드컵북로1길 60,백수저,37.5538,126.918437
간귀,에다마메 남영,서울 용산구 한강대로76길 11-40,흑수저,37.5424357,126.9737229
고기깡패,군몽,서울 용산구 한강대로27가길 15,흑수저,37.5373464,127.0028953
나폴리_맛피아,비아톨레도파스타바,서울 용산구 원효로83길 7-2,흑수저,37.5400533,126.9677589
만찢남,"조광201, 조광101",서울 송파구 새말로10길 8,흑수저,37.4822489,127.1272981
반찬_셰프1,마마리마켓,서울 성동구 연무장18길 16,흑수저,37.5392617,127.0619643
반찬_셰프2,마마리다이닝,서울 영등포구 국제금융로 10 IFC몰 L3층 306호,흑수저,37.5250243,126.9258867
셀럽의_셰프,Buto,서울 용산구 한남대로27가길 32,흑수저,37.5381216,127.0025286
야키토리왕,야키토리묵,서울 마포구 성미산로 165-1,흑수저,37.5646654,126.9245756
영탉,남영탉,서울 용산구 한강대로80길,흑수저,37.5429768,126.9735452
요리하는_돌아이,디핀신당,서울 중구 퇴계로 411,흑수저,37.5659388,127.0172172
원투쓰리,본연,서울 강남구 논현로 742,흑수저,37.5182921,127.0291463
이모카세1호,즐거운술상,서울 도봉구 노해로 341 117호,흑수저,37.6514477,127.0459346
장사천재_조사장,을지로보석,서울 중구 마른내로11-10,흑수저,37.5651484,126.9892482
철가방_요리사,도량,서울 종로구 자하문로6길 6 2,흑수저,37.5779717,126.9725066
키친갱스터,나우 남영,서울 용산구 원효로89길 23,흑수저,37.5407216,126.9677347
트리플스타,트리드,서울 강남구 선릉로162길 16,흑수저,37.5266961,127.0416829
히든천재,포노부오노,서울 강남구 도산대로45길 8-7,흑수저,37.5230466,127.0364008
